formulation,method,n,d,feasible_band_ci,n_feasible_ci,recommended_n1,cov_at_rec,cov_lo_at_rec,n_point_only_borderline
Wasserstein,UG,100,5,10%,1,0.1,0.978,0.9610391387886836,1
Wasserstein,UG,100,10,"10%,20%",2,0.2,0.986,0.9713869308622147,1
Wasserstein,UG,200,5,"10%,20%",2,0.2,0.974,0.9560285091657758,0
Wasserstein,UG,200,10,"10%,20%",2,0.2,0.972,0.9535535973250512,2
Wasserstein,NGS,100,5,"10%,20%,40%",3,0.4,0.972,0.9535535973250512,0
Wasserstein,NGS,100,10,"10%,20%,40%",3,0.4,0.976,0.9585229425360993,2
Wasserstein,NGS,200,5,"10%,20%,30%,40%,50%,60%",6,0.4,0.978,0.9610391387886836,0
Wasserstein,NGS,200,10,"10%,20%,30%,40%,50%",5,0.4,0.978,0.9610391387886836,2
Wasserstein,UNGS,100,5,"10%,20%,30%,40%",4,0.1,0.99,0.9768069002442693,3
Wasserstein,UNGS,100,10,"10%,20%,30%,40%,50%,60%,70%",7,0.1,0.99,0.9768069002442693,0
Wasserstein,UNGS,200,5,"10%,20%,30%,40%,50%,60%",6,0.4,0.98,0.9635798167531208,2
Wasserstein,UNGS,200,10,"10%,20%,30%,40%,50%,60%,70%",7,0.2,0.994,0.9825097478959467,1
RO,UG,200,2,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.3,0.976,0.9585229425360993,1
RO,UG,200,10,"10%,20%,30%,40%,50%,60%,80%",7,0.1,0.978,0.9610391387886836,2
RO,UG,200,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.972,0.9535535973250512,0
RO,UG,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.2,0.998,0.9887592932948532,0
RO,UG,500,10,"10%,20%,30%,40%,50%,60%,70%",7,0.2,0.996,0.9855342847848231,2
RO,UG,500,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.992,0.9796129641658948,0
RO,UG,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.2,0.996,0.9855342847848231,0
RO,UG,1000,10,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.1,0.998,0.9887592932948532,1
RO,UG,1000,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.994,0.9825097478959467,0
RO,NGS,200,2,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.2,0.992,0.9796129641658948,1
RO,NGS,200,10,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.2,0.992,0.9796129641658948,1
RO,NGS,200,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.99,0.9768069002442693,0
RO,NGS,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.3,0.996,0.9855342847848231,0
RO,NGS,500,10,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.2,1.0,0.9923756595384479,1
RO,NGS,500,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.998,0.9887592932948532,0
RO,NGS,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,1.0,0.9923756595384479,0
RO,NGS,1000,10,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.2,1.0,0.9923756595384479,0
RO,NGS,1000,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.2,1.0,0.9923756595384479,0
RO,UNGS,200,2,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.2,0.994,0.9825097478959467,1
RO,UNGS,200,10,"10%,20%,30%,40%,50%,60%,80%",7,0.2,0.994,0.9825097478959467,2
RO,UNGS,200,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.994,0.9825097478959467,0
RO,UNGS,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.3,0.996,0.9855342847848231,0
RO,UNGS,500,10,"10%,20%,30%,40%,50%,60%,70%,80%",8,0.2,1.0,0.9923756595384479,1
RO,UNGS,500,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.992,0.9796129641658948,0
RO,UNGS,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.998,0.9887592932948532,0
RO,UNGS,1000,10,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.2,0.996,0.9855342847848231,0
RO,UNGS,1000,50,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.994,0.9825097478959467,0
SAA,UG,200,5,none,0,,0.916,0.888400685539819,0
SAA,UG,200,10,none,0,,0.902,0.8727939491335183,0
SAA,UG,200,20,none,0,,0.872,0.8398543146918417,0
SAA,UG,400,5,none,0,,0.962,0.9414152274693561,2
SAA,UG,400,10,none,0,,0.944,0.920255206353293,0
SAA,UG,400,20,none,0,,0.942,0.917943812143745,0
SAA,NGS,200,5,none,0,,0.964,0.9438156730319722,2
SAA,NGS,200,10,none,0,,0.954,0.9319222072317267,1
SAA,NGS,200,20,none,0,,0.938,0.9133402868983618,0
SAA,NGS,400,5,"20%,30%,40%,50%,60%",5,0.4,0.99,0.9768069002442693,1
SAA,NGS,400,10,"30%,40%,50%,60%,80%",5,0.3,0.982,0.9661483290912607,1
SAA,NGS,400,20,"40%,50%,60%",3,0.4,0.982,0.9661483290912607,3
SAA,UNGS,200,5,"50%,60%",2,0.5,0.976,0.9585229425360993,0
SAA,UNGS,200,10,none,0,,0.968,0.9486551309545582,1
SAA,UNGS,200,20,none,0,,0.96,0.9390264041651492,1
SAA,UNGS,400,5,"20%,30%,40%,50%,60%,80%",6,0.2,0.976,0.9585229425360993,1
SAA,UNGS,400,10,"30%,40%,50%,60%,70%,80%",6,0.3,0.99,0.9768069002442693,0
SAA,UNGS,400,20,"30%,40%,50%,60%,70%,80%",6,0.3,0.972,0.9535535973250512,0
SO,UG,200,2,"40%,50%,60%,80%",4,0.5,0.972,0.9535535973250512,3
SO,UG,200,10,none,0,,0.936,0.911047591162316,0
SO,UG,200,50,none,0,,0.872,0.8398543146918417,0
SO,UG,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.97,0.9510963331640543,0
SO,UG,500,10,"30%,40%,50%,60%",4,0.3,0.98,0.9635798167531208,3
SO,UG,500,50,"30%,40%,50%,70%",4,0.3,0.972,0.9535535973250512,0
SO,UG,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.988,0.9740696388835527,0
SO,UG,1000,10,"20%,30%,40%,50%,60%,70%,80%",7,0.2,0.984,0.9687488914666058,2
SO,UG,1000,50,"20%,30%,40%,50%,60%,70%",6,0.2,0.986,0.9713869308622147,1
SO,NGS,200,2,"30%,40%,50%,60%,70%,80%",6,0.3,0.97,0.9510963331640543,1
SO,NGS,200,10,none,0,,0.962,0.9414152274693561,2
SO,NGS,200,50,none,0,,0.898,0.868365377095774,0
SO,NGS,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.974,0.9560285091657758,0
SO,NGS,500,10,"20%,30%,40%,50%,60%,70%,80%,90%",8,0.2,0.984,0.9687488914666058,0
SO,NGS,500,50,"30%,40%,50%,60%,70%,80%",6,0.3,0.99,0.9768069002442693,1
SO,NGS,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.996,0.9855342847848231,0
SO,NGS,1000,10,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.984,0.9687488914666058,0
SO,NGS,1000,50,"20%,30%,40%,50%,60%,70%,80%,90%",8,0.2,0.998,0.9887592932948532,0
SO,UNGS,200,2,"30%,40%,50%,60%,70%,80%",6,0.3,0.976,0.9585229425360993,1
SO,UNGS,200,10,60%,1,0.6,0.982,0.9661483290912607,3
SO,UNGS,200,50,none,0,,0.918,0.8906451408426114,0
SO,UNGS,500,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.976,0.9585229425360993,0
SO,UNGS,500,10,"20%,30%,40%,50%,60%,70%,80%,90%",8,0.2,0.984,0.9687488914666058,0
SO,UNGS,500,50,"30%,40%,50%,60%,70%,80%,90%",7,0.3,0.992,0.9796129641658948,0
SO,UNGS,1000,2,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.996,0.9855342847848231,0
SO,UNGS,1000,10,"10%,20%,30%,40%,50%,60%,70%,80%,90%",9,0.1,0.984,0.9687488914666058,0
SO,UNGS,1000,50,"20%,30%,40%,50%,60%,70%,80%,90%",8,0.2,0.998,0.9887592932948532,0
