config,n,split,d,reps,elapsed_s,method,coverage,coverage_lo,coverage_hi,meets_target,mean_obj,obj_se,mean_oracle_gap,n_reps
paper_ro_ellipsoid,500,0.5,100,1000,462.2383601665497,NV,1.0,0.996173241514445,1.0,True,-90.1412654711221,0.020799109294094547,2.7000623958883806e-16,1000
paper_ro_ellipsoid,500,0.5,100,1000,462.2383601665497,UG,1.0,0.996173241514445,1.0,True,-90.1412654711221,0.020799109294094547,2.7000623958883806e-16,1000
paper_ro_ellipsoid,500,0.5,100,1000,462.2383601665497,NGS,1.0,0.996173241514445,1.0,True,-90.1412654711221,0.020799109294094547,2.7000623958883806e-16,1000
paper_ro_ellipsoid,500,0.5,100,1000,462.2383601665497,UNGS,1.0,0.996173241514445,1.0,True,-90.1412654711221,0.020799109294094547,2.7000623958883806e-16,1000
paper_ro_ellipsoid,500,0.5,100,1000,462.2383601665497,benchmark,1.0,0.996173241514445,1.0,True,-89.83596171629073,0.0,0.3053037548313668,1000
paper_ro_ellipsoid,500,0.5,10,1000,7.684981822967529,NV,0.867,0.8445423199288764,0.8866488393427261,False,-7.594451846753284,0.007269826324625846,-0.08046521355493103,1000
paper_ro_ellipsoid,500,0.5,10,1000,7.684981822967529,UG,0.993,0.9856216845342334,0.9966051315990092,True,-7.44052859499451,0.005385450800493224,0.07345803820384239,1000
paper_ro_ellipsoid,500,0.5,10,1000,7.684981822967529,NGS,0.998,0.9927371921365079,0.9994513564118793,True,-7.38948879253401,0.005808029058499159,0.12449784066434223,1000
paper_ro_ellipsoid,500,0.5,10,1000,7.684981822967529,UNGS,0.994,0.9869718317581478,0.9972473308581237,True,-7.369719285622106,0.006484732297019654,0.14426734757624712,1000
paper_ro_ellipsoid,500,0.5,10,1000,7.684981822967529,benchmark,1.0,0.996173241514445,1.0,True,-6.901634398385977,1.1240288649509236e-16,0.6123522348123789,1000
paper_ro_ellipsoid,500,0.5,20,1000,12.595916986465454,NV,0.87,0.8477319733455312,0.8894362253751581,False,-16.551078689138716,0.016500797888868195,0.0019134081032725003,1000
paper_ro_ellipsoid,500,0.5,20,1000,12.595916986465454,UG,0.99,0.9816905311296853,0.9945592455544707,True,-16.010890609360757,0.01243186421931606,0.5421014878812327,1000
paper_ro_ellipsoid,500,0.5,20,1000,12.595916986465454,NGS,0.996,0.9897604437227377,0.9984434118595916,True,-15.913838442309979,0.010456667717642044,0.6391536549320102,1000
paper_ro_ellipsoid,500,0.5,20,1000,12.595916986465454,UNGS,0.99,0.9816905311296853,0.9945592455544707,True,-15.981616642568646,0.012787260489538984,0.5713754546733416,1000
paper_ro_ellipsoid,500,0.5,20,1000,12.595916986465454,benchmark,1.0,0.996173241514445,1.0,True,-15.324547637443258,1.1240288649509236e-16,1.228444459798734,1000
paper_ro_ellipsoid,500,0.5,2,1000,4.502730369567871,NV,0.945,0.9290916123226243,0.9575025726252315,False,-1.1779865159174383,0.001357096304687249,0.006422457578954921,1000
paper_ro_ellipsoid,500,0.5,2,1000,4.502730369567871,UG,0.993,0.9856216845342334,0.9966051315990092,True,-1.1262330866995558,0.0015346173004604506,0.0581758867968375,1000
paper_ro_ellipsoid,500,0.5,2,1000,4.502730369567871,NGS,0.999,0.9943574414020421,0.9998234536293739,True,-1.1034299789774396,0.0014892663188634187,0.08097899451895385,1000
paper_ro_ellipsoid,500,0.5,2,1000,4.502730369567871,UNGS,0.999,0.9943574414020421,0.9998234536293739,True,-1.0932909957164725,0.0015396292219645182,0.09111797777992058,1000
paper_ro_ellipsoid,500,0.5,2,1000,4.502730369567871,benchmark,1.0,0.996173241514445,1.0,True,-0.9727869233715887,7.025180405943273e-18,0.21162205012480428,1000
paper_ro_ellipsoid,500,0.5,50,1000,86.05852437019348,NV,1.0,0.996173241514445,1.0,True,-44.245732874282304,0.012968828599485114,0.014669945700576512,1000
paper_ro_ellipsoid,500,0.5,50,1000,86.05852437019348,UG,1.0,0.996173241514445,1.0,True,-44.03138348405113,0.021688975670849445,0.22901933593174725,1000
paper_ro_ellipsoid,500,0.5,50,1000,86.05852437019348,NGS,1.0,0.996173241514445,1.0,True,-43.82656237298598,0.027232956843208762,0.43384044699690694,1000
paper_ro_ellipsoid,500,0.5,50,1000,86.05852437019348,UNGS,1.0,0.996173241514445,1.0,True,-44.02144421007956,0.021960494958198556,0.23895860990332377,1000
paper_ro_ellipsoid,500,0.5,50,1000,86.05852437019348,benchmark,1.0,0.996173241514445,1.0,True,-42.46409155317787,2.2480577299018473e-16,1.7963112668050012,1000
paper_ro_ellipsoid,500,0.5,5,1000,6.105828762054443,NV,0.943,0.9268629323405141,0.9557465596412841,False,-3.463113397256321,0.003235693762326728,-0.007333743500996983,1000
paper_ro_ellipsoid,500,0.5,5,1000,6.105828762054443,UG,0.997,0.9912169859464969,0.9989792161188614,True,-3.3655949677412207,0.003420957993115394,0.0901846860141032,1000
paper_ro_ellipsoid,500,0.5,5,1000,6.105828762054443,NGS,0.999,0.9943574414020421,0.9998234536293739,True,-3.322259691092076,0.003532894702935523,0.1335199626632479,1000
paper_ro_ellipsoid,500,0.5,5,1000,6.105828762054443,UNGS,0.998,0.9927371921365079,0.9994513564118793,True,-3.299931935634475,0.00360314239440549,0.1558477181208487,1000
paper_ro_ellipsoid,500,0.5,5,1000,6.105828762054443,benchmark,1.0,0.996173241514445,1.0,True,-3.025999410968635,0.0,0.4297802427866893,1000
