config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_ro_ellipsoid,1000,0.5,100,,,,,NV,1.0,-89.56233445159573,0.95,True
paper_ro_ellipsoid,1000,0.5,100,,,,,UG,1.0,-89.56233445159573,0.95,True
paper_ro_ellipsoid,1000,0.5,100,,,,,NGS,1.0,-89.56233445159573,0.95,True
paper_ro_ellipsoid,1000,0.5,100,,,,,UNGS,1.0,-89.56233445159573,0.95,True
paper_ro_ellipsoid,1000,0.5,100,,,,,benchmark,1.0,-89.83596171629073,0.95,True
paper_ro_ellipsoid,1000,0.5,200,,,,,NV,1.0,-181.3171968129714,0.95,True
paper_ro_ellipsoid,1000,0.5,200,,,,,UG,1.0,-181.3171968129714,0.95,True
paper_ro_ellipsoid,1000,0.5,200,,,,,NGS,1.0,-181.3171968129714,0.95,True
paper_ro_ellipsoid,1000,0.5,200,,,,,UNGS,1.0,-181.3171968129714,0.95,True
paper_ro_ellipsoid,1000,0.5,200,,,,,benchmark,1.0,-187.3264277616216,0.95,True
paper_ro_ellipsoid,2000,0.5,100,,,,,NV,1.0,-89.18905609351019,0.95,True
paper_ro_ellipsoid,2000,0.5,100,,,,,UG,1.0,-89.18905609351019,0.95,True
paper_ro_ellipsoid,2000,0.5,100,,,,,NGS,1.0,-89.18905609351019,0.95,True
paper_ro_ellipsoid,2000,0.5,100,,,,,UNGS,1.0,-89.18905609351019,0.95,True
paper_ro_ellipsoid,2000,0.5,100,,,,,benchmark,1.0,-89.83596171629073,0.95,True
paper_ro_ellipsoid,2000,0.5,200,,,,,NV,1.0,-180.3942491550402,0.95,True
paper_ro_ellipsoid,2000,0.5,200,,,,,UG,1.0,-180.3942491550402,0.95,True
paper_ro_ellipsoid,2000,0.5,200,,,,,NGS,1.0,-180.3942491550402,0.95,True
paper_ro_ellipsoid,2000,0.5,200,,,,,UNGS,1.0,-180.3942491550402,0.95,True
paper_ro_ellipsoid,2000,0.5,200,,,,,benchmark,1.0,-187.3264277616216,0.95,True
paper_ro_ellipsoid,200,0.5,100,,,,,NV,1.0,-91.55779264792561,0.95,True
paper_ro_ellipsoid,200,0.5,100,,,,,UG,1.0,-91.1804726165178,0.95,True
paper_ro_ellipsoid,200,0.5,100,,,,,NGS,1.0,-90.89172400119,0.95,True
paper_ro_ellipsoid,200,0.5,100,,,,,UNGS,1.0,-91.05998521276476,0.95,True
paper_ro_ellipsoid,200,0.5,100,,,,,benchmark,1.0,-89.83596171629073,0.95,True
paper_ro_ellipsoid,200,0.5,200,,,,,NV,1.0,-190.01844611422968,0.95,True
paper_ro_ellipsoid,200,0.5,200,,,,,UG,1.0,-189.58146131536975,0.95,True
paper_ro_ellipsoid,200,0.5,200,,,,,NGS,1.0,-189.18196356949798,0.95,True
paper_ro_ellipsoid,200,0.5,200,,,,,UNGS,1.0,-189.4178224301109,0.95,True
paper_ro_ellipsoid,200,0.5,200,,,,,benchmark,1.0,-187.3264277616216,0.95,True
paper_ro_ellipsoid,500,0.5,100,,,,,NV,1.0,-90.16019686471388,0.95,True
paper_ro_ellipsoid,500,0.5,100,,,,,UG,1.0,-90.16019686471388,0.95,True
paper_ro_ellipsoid,500,0.5,100,,,,,NGS,1.0,-90.16019686471388,0.95,True
paper_ro_ellipsoid,500,0.5,100,,,,,UNGS,1.0,-90.16019686471388,0.95,True
paper_ro_ellipsoid,500,0.5,100,,,,,benchmark,1.0,-89.83596171629073,0.95,True
paper_ro_ellipsoid,500,0.5,200,,,,,NV,1.0,-182.8854242276263,0.95,True
paper_ro_ellipsoid,500,0.5,200,,,,,UG,1.0,-182.8854242276263,0.95,True
paper_ro_ellipsoid,500,0.5,200,,,,,NGS,1.0,-182.8854242276263,0.95,True
paper_ro_ellipsoid,500,0.5,200,,,,,UNGS,1.0,-182.8854242276263,0.95,True
paper_ro_ellipsoid,500,0.5,200,,,,,benchmark,1.0,-187.3264277616216,0.95,True
paper_so,1000,0.5,100,,,,,NV,0.814,-94.2366552228921,0.95,False
paper_so,1000,0.5,100,,,,,UG,0.984,-93.5386300185904,0.95,True
paper_so,1000,0.5,100,,,,,NGS,0.998,-93.18052603597776,0.95,True
paper_so,1000,0.5,100,,,,,UNGS,1.0,-92.84494783586383,0.95,True
paper_so,1000,0.5,100,,,,,benchmark,1.0,-89.29911588777523,0.95,True
paper_so,1000,0.5,200,,,,,NV,0.806,-194.1025683081347,0.95,False
paper_so,1000,0.5,200,,,,,UG,0.984,-193.0964307839878,0.95,True
paper_so,1000,0.5,200,,,,,NGS,0.996,-192.60775038077398,0.95,True
paper_so,1000,0.5,200,,,,,UNGS,0.998,-192.3600806397727,0.95,True
paper_so,1000,0.5,200,,,,,benchmark,1.0,-186.80027896817128,0.95,True
paper_so,2000,0.5,100,,,,,NV,0.9,-94.05975872040511,0.95,False
paper_so,2000,0.5,100,,,,,UG,1.0,-93.58906735667234,0.95,True
paper_so,2000,0.5,100,,,,,NGS,1.0,-93.36695489560627,0.95,True
paper_so,2000,0.5,100,,,,,UNGS,1.0,-93.26322514857975,0.95,True
paper_so,2000,0.5,100,,,,,benchmark,1.0,-88.26181178019786,0.95,True
paper_so,2000,0.5,200,,,,,NV,0.896,-193.74802812580876,0.95,False
paper_so,2000,0.5,200,,,,,UG,0.996,-193.09648366623324,0.95,True
paper_so,2000,0.5,200,,,,,NGS,1.0,-192.7499900782663,0.95,True
paper_so,2000,0.5,200,,,,,UNGS,1.0,-192.68252666965085,0.95,True
paper_so,2000,0.5,200,,,,,benchmark,1.0,-185.1009465618604,0.95,True
paper_so,500,0.5,100,,,,,NV,0.748,-94.31674508546176,0.95,False
paper_so,500,0.5,100,,,,,UG,0.968,-93.35897812957101,0.95,True
paper_so,500,0.5,100,,,,,NGS,0.996,-92.92866774081838,0.95,True
paper_so,500,0.5,100,,,,,UNGS,0.998,-92.47554829876529,0.95,True
paper_so,500,0.5,100,,,,,benchmark,1.0,-90.41298921657223,0.95,True
paper_so,500,0.5,200,,,,,NV,0.764,-194.16727666299656,0.95,False
paper_so,500,0.5,200,,,,,UG,0.968,-192.75071687783563,0.95,True
paper_so,500,0.5,200,,,,,NGS,0.992,-192.25094166835325,0.95,True
paper_so,500,0.5,200,,,,,UNGS,1.0,-191.77323918932643,0.95,True
paper_so,500,0.5,200,,,,,benchmark,1.0,-188.42966843472684,0.95,True
