Algorithm,Data Size,Training Percentage,Objective,Feasibility
FAST,100,10,,0.0
FAST,100,20,,72.0
FAST,100,30,,99.0
FAST,100,40,-5.433189967944184,100.0
FAST,100,50,-5.691349647983855,100.0
FAST,100,60,-6.029117541913824,100.0
FAST,100,70,-6.185992642308313,100.0
FAST,100,80,-6.474151766508686,100.0
FAST,100,90,-7.055222295757346,75.0
FAST,200,10,,62.0
FAST,200,20,-4.999647966162106,100.0
FAST,200,30,-5.343876389460339,100.0
FAST,200,40,-5.535727468551858,100.0
FAST,200,50,-5.650851492794065,100.0
FAST,200,60,-5.88334458954845,100.0
FAST,200,70,-5.90098038794994,100.0
FAST,200,80,-6.190829708259351,100.0
FAST,200,90,-6.592360155905464,100.0
FAST,300,10,,99.0
FAST,300,20,-5.1650437178279045,100.0
FAST,300,30,-5.2433784290826715,100.0
FAST,300,40,-5.4856174829343205,100.0
FAST,300,50,-5.6356382551666435,100.0
FAST,300,60,-5.783175263173814,100.0
FAST,300,70,-5.914529982280051,100.0
FAST,300,80,-6.074402379685611,100.0
FAST,300,90,-6.361430413134404,100.0
FAST,400,10,-4.620852672525123,100.0
FAST,400,20,-5.285157318053263,100.0
FAST,400,30,-5.302623637726043,100.0
FAST,400,40,-5.5021280011657,100.0
FAST,400,50,-5.62192995789388,100.0
FAST,400,60,-5.697053813208555,100.0
FAST,400,70,-5.814340801085198,100.0
FAST,400,80,-6.058470368630139,100.0
FAST,400,90,-6.1416571671893765,100.0
FAST,500,10,-4.873844184889965,100.0
FAST,500,20,-5.238801153288705,100.0
FAST,500,30,-5.355455452349597,100.0
FAST,500,40,-5.351996038493118,100.0
FAST,500,50,-5.570104367197075,100.0
FAST,500,60,-5.697642165233673,100.0
FAST,500,70,-5.670291825194494,100.0
FAST,500,80,-5.956442325455566,100.0
FAST,500,90,-6.101356886345506,100.0
FAST,600,10,-4.838236519605364,100.0
FAST,600,20,-5.2032516702494185,100.0
FAST,600,30,-5.175965672492589,100.0
FAST,600,40,-5.421048390115807,100.0
FAST,600,50,-5.538050929157425,100.0
FAST,600,60,-5.5607637073612945,100.0
FAST,600,70,-5.755396039683356,100.0
FAST,600,80,-5.918289608001755,100.0
FAST,600,90,-6.088732528736312,100.0
FAST,700,10,-4.928869216883001,100.0
FAST,700,20,-5.231040844134892,100.0
FAST,700,30,-5.324638076938689,100.0
FAST,700,40,-5.354159658693215,100.0
FAST,700,50,-5.461945482559936,100.0
FAST,700,60,-5.520653080975816,100.0
FAST,700,70,-5.666553040848429,100.0
FAST,700,80,-5.835689159921692,100.0
FAST,700,90,-6.082209884198733,100.0
FAST,800,10,-4.9516729176217735,100.0
FAST,800,20,-5.1021323764494735,100.0
FAST,800,30,-5.285614901097825,100.0
FAST,800,40,-5.384406763043171,100.0
FAST,800,50,-5.411624477103663,100.0
FAST,800,60,-5.48194954357317,100.0
FAST,800,70,-5.687434304859525,100.0
FAST,800,80,-5.747054794554431,100.0
FAST,800,90,-5.974333683852485,100.0
FAST,900,10,-4.983930795889178,100.0
FAST,900,20,-5.198620254321282,100.0
FAST,900,30,-5.329115323283986,100.0
FAST,900,40,-5.369131483312003,100.0
FAST,900,50,-5.3891924163872,100.0
FAST,900,60,-5.46549466428419,100.0
FAST,900,70,-5.572287223314775,100.0
FAST,900,80,-5.805475278466093,100.0
FAST,900,90,-5.911562492901304,100.0
FAST,1000,10,-4.952292369604238,100.0
FAST,1000,20,-5.16643020468894,100.0
FAST,1000,30,-5.176287607697901,100.0
FAST,1000,40,-5.309850543194905,100.0
FAST,1000,50,-5.3693404645895555,100.0
FAST,1000,60,-5.433174540465459,100.0
FAST,1000,70,-5.612640658236185,100.0
FAST,1000,80,-5.711293315657066,100.0
FAST,1000,90,-5.909588448596465,100.0
