Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.558980122482266,-6.485453692131744,-7.128752086613769,-7.15819055143897,-6.787729805011652,-6.611010158215115
-6.680875692155386,-6.680875692155386,-6.483146878847128,-6.483146878847128,-6.285179100682017,-6.285179100682017
-6.354558841092815,-6.354558841092815,-6.390031263433388,-6.4158383267014205,-7.065270078300939,-7.065270078300939
-7.089112205478132,-6.6158917873643865,-6.727913916922938,-6.772885087476226,-6.711281967180544,-6.667705508343292
-6.553914568332425,-6.553914568332425,-6.520162751937785,-6.363246340931486,-6.879127717147215,-6.879127717147215
-6.455310485451663,-6.455310485451663,-7.300216913574117,-7.300216913574117,-6.653458689406554,-6.807451398509465
-6.222381500164113,-6.222381500164113,-6.731237049405438,-6.731237049405438,-6.771947474343538,-7.0179575402549
-6.708914060695127,-6.705157081157807,-6.417398417469397,-6.533222893065689,-7.473564466710884,-6.4660752064278855
-6.731943820509365,-6.580628897693055,-7.445117172877421,-6.751117950601159,-7.331213172167631,-7.02267649109403
-6.443503011448501,-6.513213668635628,-7.004003473477008,-6.228834690978742,-6.5441100482690855,-6.640926576195252
-6.103216437547083,-5.921404970161719,-6.357170171748796,-6.74800313115145,-7.264157765771718,-6.3810570697949025
-6.354595918065904,-6.354595918065904,-6.819012860784043,-6.802358150230845,-6.724411349868652,-6.6328081736033795
-6.8034421012458886,-6.8034421012458886,-6.7930813419223055,-6.430126184358112,-6.627675887981064,-6.3030755299932
-6.079206850240562,-6.079206850240562,-6.954868669769626,-6.954868669769626,-7.091101391169179,-7.070233813497321
-6.468549562248784,-6.516033549457635,-6.111906386078289,-6.118587514153119,-6.700214436686285,-6.700214436686285
-6.746713841656403,-6.8235983544678085,-7.06074790415448,-7.06074790415448,-6.29375422691028,-6.29375422691028
-6.777541873295461,-6.815136267209609,-6.950419572606022,-5.916923938861185,-6.830671187119345,-6.811418679691516
-6.632994210552038,-6.632994210552038,-6.810128359090153,-6.597990148890565,-6.742312710856778,-6.362610489394328
-6.728354797798,-7.005018963114448,-6.89391080162034,-6.763325473157996,-6.375120469141389,-6.432194176137953
-6.710650949816102,-7.006371444866982,-6.746341117096357,-6.670267321127187,-6.701105311900961,-6.626217880420865
-7.008240113566324,-7.008240113566324,-6.827754050396724,-6.848302544316694,-6.802236268450571,-7.029266626252397
-6.720986401216103,-6.720986401216103,-6.4774809438243794,-6.636956085247103,-7.317176922019498,-7.317176922019498
-6.801845412557329,-6.848334833095616,-6.920488614301644,-6.792201468736906,-6.580927506287142,-6.580927506287142
-6.501785543202102,-6.501785543202102,-6.961824501975185,-6.888576775483212,-6.704744538412372,-7.297876251348718
-6.845636284649425,-6.841097848463257,-6.89640928373738,-6.642882360995638,-7.222323122546132,-7.222323122546132
-6.522521409242669,-6.522521409242669,-6.5875179195987466,-6.976053813231154,-6.568992915406357,-6.6769352474331205
-6.989735444047137,-6.389052139160159,-7.362947010241213,-7.427936888393271,-6.774660854141512,-6.774660854141512
-6.470264797376268,-6.488345455606828,-6.834219581020412,-7.003035744201479,-6.8130312257128045,-6.781229716688357
-6.879859332981836,-6.879859332981836,-6.803924509987972,-6.711534269222159,-6.743608036278555,-6.743608036278555
-6.341986305677781,-6.460296720131921,-6.588214441532362,-6.531606146315036,-6.645041954274558,-6.645041954274558
-6.899520474104087,-6.603622475202382,-6.121712656684914,-6.174309485124938,-7.194678791951081,-7.194678791951081
-6.575224475969632,-6.575224475969632,-6.753520537233758,-6.71023732993558,-6.669629733197478,-7.440414368852441
-6.868984709614034,-6.6524930857135125,-6.858951117999769,-6.186519480953803,-6.178267242983841,-6.193067334834421
-6.850607817058267,-6.3075224327530375,-6.86778898198551,-6.796725689995492,-6.811133487705959,-6.808099060029426
-6.83995970489821,-6.83995970489821,-6.600407523509013,-6.600407523509013,-7.06604564686304,-7.194930218183537
-6.93302221459544,-6.527029609884252,-7.238338990884904,-6.665552689617336,-6.497887735576291,-7.141582320823274
-6.83954553044526,-6.83954553044526,-7.101353445353472,-7.085164070919591,-6.7645795986236,-6.525846367342701
-7.024989505675401,-7.322189385445397,-6.483516605644462,-6.483516605644462,-6.748403698633129,-7.137647035422716
-6.4880768656555805,-7.163711664455617,-6.719514290628492,-6.745477503422105,-6.865491368588841,-6.873193846823569
-6.70855433528644,-6.70855433528644,-6.830776607390755,-6.368769505387681,-6.972266342412655,-6.9165453377940445
-7.019562319228205,-7.019562319228205,-6.063169808222897,-6.063169808222897,-6.745278819115683,-6.745278819115683
-6.5854106888155055,-6.732071664139186,-6.958052148552679,-6.913869576029972,-6.82343743443453,-6.7013841209874645
-6.506045342447086,-6.941148484866566,-6.529663762388569,-6.638294262244343,-6.301366024994787,-6.41199874240573
-6.37427035534887,-6.37427035534887,-6.679891984372963,-7.000370595671802,-6.669757408981119,-6.6495885685227645
-6.2291884566633104,-6.402972893799883,-6.923853352526293,-7.015113207538711,-6.849662541775244,-6.571930612311899
-7.187317671025692,-6.985023270822129,-6.280889055471583,-6.280889055471583,-6.351169984671018,-6.498469485837272
-6.882314315921694,-6.691316312970329,-6.195433025989027,-6.195433025989027,-6.778054260593912,-6.7957730374625305
-6.677226555614548,-6.773230004383726,-6.719631177633367,-6.703073519802141,-6.497799925877245,-6.610594435227701
-6.435602537751545,-6.329729396776997,-6.528458310816153,-6.47873810097392,-6.576892073797371,-6.572329964455329
-7.182278879475425,-6.871154636367415,-6.616571365689159,-6.616571365689159,-6.874848881473426,-6.874848881473426
-6.830856441874577,-6.786214068280932,-6.590993746944997,-6.787173302265503,-6.650580951987485,-6.534364432657922
-6.831168746157878,-7.395165323267686,-7.0512402106983325,-6.634590101112858,-6.673001075334728,-6.745657813280767
-6.762808510791929,-6.603271721548314,-6.542082648957975,-6.773672128014651,-6.232867592011758,-6.232867592011758
-6.340780762130661,-6.0279108758292335,-7.355065394001777,-6.603676978808655,-6.684202629451749,-6.684202629451749
-6.506749006599025,-6.470953613144268,-6.941225232409285,-6.978381264646759,-6.930098172747664,-6.930098172747664
-6.600682390775712,-6.895556150484592,-6.905800765871577,-6.267759810446885,-6.765381286271927,-6.659774678781345
-6.708677869066469,-6.465530092589901,-6.782198088860476,-6.568288703162539,-6.436129167106699,-6.436129167106699
-6.6510098431967,-6.883627925619137,-6.6035507069156765,-6.6035507069156765,-7.490079681583358,-6.772612193699385
-7.193307087155762,-7.077735745391566,-6.610948539506799,-6.610948539506799,-6.7233835515606755,-6.7233835515606755
-7.100399262564246,-7.007256444470995,-7.149194561737995,-7.149194561737995,-6.619318710139327,-6.390036650574829
-6.4391510457167085,-6.457769378322096,-6.317307214838227,-6.169358626715437,-7.147044534938598,-6.5584833014914805
-7.311114912180824,-7.311114912180824,-6.757828892351671,-6.9622460600364295,-6.624544790557219,-7.232555497005881
-6.667035774267264,-6.937984945450896,-6.437084244305422,-6.437084244305422,-6.471518216263408,-6.471518216263408
-6.294474863271585,-6.294474863271585,-6.689256499168484,-6.561029572982941,-7.183248675120526,-7.29289852611009
-6.998515731177546,-6.756069073175309,-6.996310723760263,-6.996310723760263,-7.246691460664819,-7.246691460664819
-6.379985531102263,-6.778212386600338,-6.903233354737586,-6.329790790440583,-6.8310311435224085,-6.69008001893127
-6.521966692170683,-6.6822908466958335,-7.000614815715103,-6.627296345203811,-7.222997311568528,-7.222997311568528
-6.583183591415439,-6.583183591415439,-6.119717458743535,-6.220778120443778,-6.86728395298297,-6.86728395298297
-7.195213786110147,-6.442535165254276,-7.511505033948611,-6.992054570135757,-6.6325631051017115,-7.514239456370923
-6.903654346158931,-6.715178332611284,-7.516613182872511,-6.1681983122180135,-6.886729293707579,-6.598813484551133
-6.645549156241033,-6.5665047952106885,-6.356421126153033,-6.961272586347115,-6.421590837243466,-7.381786069288609
-6.577599766978569,-7.038437966171688,-6.4188428123378936,-6.389190618664922,-7.274962095419714,-7.274962095419714
-6.612781413235297,-6.612781413235297,-6.781969071958375,-6.781969071958375,-6.7295671832477675,-6.7295671832477675
-6.870523635054357,-6.531305735217352,-6.712749184368223,-6.579467237986059,-6.68094976827454,-6.830705418683773
-7.234550682230973,-6.709439823100799,-7.311305472968576,-6.568182588301392,-7.150244673048483,-6.715755648701721
-6.938980681504746,-6.790323517507647,-6.696890200457737,-6.320148477054124,-6.865507262016844,-6.564311828192782
-6.710998061283347,-6.9959983726680814,-6.600997855479971,-6.960627299309339,-6.609156276305176,-6.582493753305039
-6.699375849430801,-6.699375849430801,-7.1987219535344495,-7.1987219535344495,-7.7696644186321135,-7.076287790653664
-6.325013995639693,-6.325013995639693,-6.317680909344602,-6.317680909344602,-6.635303831521368,-6.661437657433653
-6.61760589269581,-6.61760589269581,-7.310581103631913,-6.508062001597053,-6.8138673054532735,-6.8138673054532735
-6.776778150896531,-6.74966906551416,-6.81551146320398,-6.621891577844296,-6.7515811659759315,-6.7515811659759315
-6.603577024188001,-6.603577024188001,-6.494297607703811,-6.320173861400479,-6.841567264610045,-6.801271124923532
-7.014882262848389,-6.637026401817184,-6.976322073358005,-6.37605051287278,-7.034033365660789,-6.957725823390553
-6.863038465934901,-6.863038465934901,-6.822739411280305,-6.533169983557959,-6.534242201699837,-6.248198109898896
-6.613118219089209,-6.613118219089209,-6.662184328312823,-6.641977362140447,-6.884539242340284,-6.884539242340284
-6.935064399810444,-6.228768966275339,-5.973641239435324,-5.973641239435324,-6.717150033187978,-6.717150033187978
-6.532495518228871,-6.785821131060713,-6.558433450485715,-6.741114708355762,-6.7615882287996705,-6.508557551683486
-6.683125657851443,-6.661852765101835,-6.665902812978166,-6.75402031717346,-6.980003882973159,-7.101116728874963
-6.526525070731528,-6.544856400381751,-6.733101747798317,-6.733101747798317,-6.744126464713007,-6.846287122159789
-6.5125566927082135,-6.5125566927082135,-6.2361747993011765,-6.324391821901146,-7.088540283661315,-7.088540283661315
-6.394798498325044,-6.304594725256825,-6.75209361416004,-6.933209146165681,-6.6139523858747005,-6.211289138745995
-7.057235176663252,-6.791882049759468,-6.645450501862355,-6.530456586202474,-6.543028875967095,-6.062154717916627
-6.331133404117644,-7.0234520432967695,-6.750120485139646,-6.750120485139646,-6.501010272537587,-6.501010272537587
-6.865714095425695,-6.865714095425695,-7.191421609033582,-6.121416211454923,-6.587643047150374,-6.587643047150374
-6.473142041147104,-6.512463038404872,-6.350117814327824,-6.514259242194875,-6.9821136234178285,-6.459554798652997
-6.675588798996233,-7.034778795405979,-6.848209318373852,-6.823019309800349,-7.180130127449261,-6.509742309811239
-7.07331102299901,-7.07331102299901,-6.9148803496498825,-6.9148803496498825,-6.824826136996067,-6.824826136996067
-6.508300644050334,-6.538713602192004,-6.97848367845864,-6.251737365427334,-6.8919028772623,-6.8919028772623
-6.797361715911898,-7.040658613151138,-6.675132953996048,-6.548972185917285,-6.5474361468072475,-6.5474361468072475
-7.000241001164977,-6.964009862925767,-6.856902265565575,-6.646291109762999,-6.726515508811113,-6.726515508811113
